직급코드	공무원구분코드	직종	직종세분류코드	직군코드	직렬코드	직류코드	계급코드	직급명	폐지여부
18943	2	2	L	47	044	078	015	지방항공사무관(일반임기제)	0
18944	2	2	L	47	044	079	015	지방항공사무관(일반임기제)	0
18945	2	2	L	47	044	078	016	지방항공주사(일반임기제)	0
18946	2	2	L	47	044	079	016	지방항공주사(일반임기제)	0
18947	2	2	L	47	044	078	017	지방항공주사보(일반임기제)	0
18948	2	2	L	47	044	079	017	지방항공주사보(일반임기제)	0
18949	2	2	L	47	044	078	018	지방항공서기(일반임기제)	0
18950	2	2	L	47	044	079	018	지방항공서기(일반임기제)	0
18951	2	2	L	47	044	077	019	지방항공서기보(일반임기제)	0
18952	2	2	L	47	044	079	019	지방항공서기보(일반임기제)	0
18953	2	2	L	47	169	084	015	지방시설사무관(일반임기제)	0
18954	2	2	L	47	169	086	015	지방시설사무관(일반임기제)	0
18955	2	2	L	47	169	089	015	지방시설사무관(일반임기제)	0
18956	2	2	L	47	169	090	015	지방시설사무관(일반임기제)	0
18957	2	2	L	47	169	071	015	지방시설사무관(일반임기제)	0
18958	2	2	L	47	169	084	016	지방시설주사(일반임기제)	0
18959	2	2	L	47	169	085	016	지방시설주사(일반임기제)	0
18960	2	2	L	47	169	087	016	지방시설주사(일반임기제)	0
18961	2	2	L	47	169	088	016	지방시설주사(일반임기제)	0
18962	2	2	L	47	169	089	016	지방시설주사(일반임기제)	0
18963	2	2	L	47	169	071	016	지방시설주사(일반임기제)	0
18964	2	2	L	47	169	072	016	지방시설주사(일반임기제)	0
18965	2	2	L	47	169	085	017	지방시설주사보(일반임기제)	0
18966	2	2	L	47	169	088	017	지방시설주사보(일반임기제)	0
18967	2	2	L	47	169	089	017	지방시설주사보(일반임기제)	0
18968	2	2	L	47	169	090	017	지방시설주사보(일반임기제)	0
18969	2	2	L	47	169	072	017	지방시설주사보(일반임기제)	0
18970	2	2	L	47	169	084	018	지방시설서기(일반임기제)	0
18971	2	2	L	47	169	086	018	지방시설서기(일반임기제)	0
18972	2	2	L	47	169	087	018	지방시설서기(일반임기제)	0
18973	2	2	L	47	169	089	018	지방시설서기(일반임기제)	0
18974	2	2	L	47	169	090	018	지방시설서기(일반임기제)	0
18975	2	2	L	47	169	071	018	지방시설서기(일반임기제)	0
18976	2	2	L	47	169	084	019	지방시설서기보(일반임기제)	0
18977	2	2	L	47	169	085	019	지방시설서기보(일반임기제)	0
18978	2	2	L	47	169	088	019	지방시설서기보(일반임기제)	0
18979	2	2	L	47	169	090	019	지방시설서기보(일반임기제)	0
18980	2	2	L	47	169	071	019	지방시설서기보(일반임기제)	0
18981	2	2	L	47	169	072	019	지방시설서기보(일반임기제)	0
18982	2	2	L	NULL	NULL	NULL	015	5급(일반임기제)	0
18983	2	2	L	NULL	NULL	NULL	016	6급(일반임기제)	0
18984	2	2	L	NULL	NULL	NULL	017	7급(일반임기제)	0
18985	2	2	L	NULL	NULL	NULL	018	8급(일반임기제)	0
18986	2	2	L	NULL	NULL	NULL	019	9급(일반임기제)	0
18987	2	2	L	NULL	NULL	NULL	030	연구관(일반임기제)	0
18988	2	2	L	NULL	NULL	NULL	031	연구사(일반임기제)	0
18989	2	2	L	NULL	NULL	NULL	032	지도관(일반임기제)	0
18990	2	2	L	NULL	NULL	NULL	033	지도사(일반임기제)	0
18991	2	2	L	47	038	060	019	지방식품위생서기보(일반임기제)	0
18992	2	2	L	47	040	061	017	지방의료기술주사보(일반임기제)	0
18993	2	2	L	47	042	063	015	지방의무사무관(일반임기제)	0
18994	2	2	L	47	043	064	016	지방약무주사(일반임기제)	0
18995	2	2	L	47	045	066	015	지방간호사무관(일반임기제)	0
18996	2	2	L	47	045	066	018	지방간호서기(일반임기제)	0
18997	2	2	L	47	068	069	015	지방환경사무관(일반임기제)	0
18998	2	2	L	47	068	069	016	지방환경주사(일반임기제)	0
18999	2	2	L	47	068	068	017	지방환경주사보(일반임기제)	0
19000	2	2	L	47	068	068	018	지방환경서기(일반임기제)	0
19001	2	2	L	47	068	067	019	지방환경서기보(일반임기제)	0
19002	2	2	L	47	068	070	019	지방환경서기보(일반임기제)	0
19003	2	2	L	47	044	077	016	지방항공주사(일반임기제)	0
19004	2	2	L	47	044	077	017	지방항공주사보(일반임기제)	0
19005	2	2	L	47	044	077	018	지방항공서기(일반임기제)	0
19006	2	2	L	47	044	078	019	지방항공서기보(일반임기제)	0
19007	2	2	L	47	169	085	015	지방시설사무관(일반임기제)	0
19008	2	2	L	47	169	088	015	지방시설사무관(일반임기제)	0
19009	2	2	L	47	169	072	015	지방시설사무관(일반임기제)	0
19010	2	2	L	47	169	086	016	지방시설주사(일반임기제)	0
19011	2	2	L	47	169	090	016	지방시설주사(일반임기제)	0
19012	2	2	L	47	169	084	017	지방시설주사보(일반임기제)	0
19013	2	2	L	47	169	087	017	지방시설주사보(일반임기제)	0
19014	2	2	L	47	169	071	017	지방시설주사보(일반임기제)	0
19015	2	2	L	47	169	085	018	지방시설서기(일반임기제)	0
19016	2	2	L	47	169	088	018	지방시설서기(일반임기제)	0
19017	2	2	L	47	169	072	018	지방시설서기(일반임기제)	0
19018	2	2	L	47	169	086	019	지방시설서기보(일반임기제)	0
19019	2	2	L	47	169	089	019	지방시설서기보(일반임기제)	0
19020	2	2	L	02	007	013	019	지방행정서기보(일반임기제)	0
19021	2	2	L	02	007	103	019	지방행정서기보(일반임기제)	0
19022	2	2	L	47	191	152	016	지방공업주사(일반임기제)	0
19023	2	2	L	47	191	137	017	지방공업주사보(일반임기제)	0
19024	2	2	L	47	191	034	017	지방공업주사보(일반임기제)	0
19025	2	2	L	47	191	038	017	지방공업주사보(일반임기제)	0
19026	2	2	L	47	191	153	017	지방공업주사보(일반임기제)	0
19027	2	2	L	47	191	137	018	지방공업서기(일반임기제)	0
19028	2	2	L	47	191	034	018	지방공업서기(일반임기제)	0
19029	2	2	L	47	191	039	018	지방공업서기(일반임기제)	1
19030	2	2	L	47	191	153	018	지방공업서기(일반임기제)	0
19031	2	2	L	47	191	137	019	지방공업서기보(일반임기제)	0
19032	2	2	L	47	191	035	019	지방공업서기보(일반임기제)	0
19033	2	2	L	47	191	039	019	지방공업서기보(일반임기제)	1
19034	2	2	L	47	191	042	019	지방공업서기보(일반임기제)	0
19035	2	2	L	47	029	046	015	지방농업사무관(일반임기제)	0
19036	2	2	L	47	029	214	015	지방농업사무관(일반임기제)	0
19037	2	2	L	47	029	045	016	지방농업주사(일반임기제)	1
19038	2	2	L	47	029	044	017	지방농업주사보(일반임기제)	1
19039	2	2	L	47	029	214	017	지방농업주사보(일반임기제)	0
19040	2	2	L	47	029	045	018	지방농업서기(일반임기제)	1
19041	2	2	L	47	029	043	019	지방농업서기보(일반임기제)	0
19042	2	2	L	47	029	050	019	지방농업서기보(일반임기제)	0
19043	2	2	L	47	193	048	015	지방녹지사무관(일반임기제)	0
19044	2	2	L	47	193	219	016	지방녹지주사(일반임기제)	0
19045	2	2	L	47	193	219	017	지방녹지주사보(일반임기제)	0
19046	2	2	L	47	193	225	017	지방녹지주사보(일반임기제)	0
19047	2	2	L	47	193	225	018	지방녹지서기(일반임기제)	0
19048	2	2	L	47	193	225	019	지방녹지서기보(일반임기제)	0
19049	2	2	L	47	032	051	017	지방수의주사보(일반임기제)	0
19050	2	2	L	47	192	054	015	지방해양수산사무관(일반임기제)	1
19051	2	2	L	47	192	074	015	지방해양수산사무관(일반임기제)	0
19052	2	2	L	47	192	221	016	지방해양수산주사(일반임기제)	0
19053	2	2	L	47	192	055	016	지방해양수산주사(일반임기제)	0
19054	2	2	L	47	192	075	016	지방해양수산주사(일반임기제)	0
19055	2	2	L	47	192	052	017	지방해양수산주사보(일반임기제)	0
19056	2	2	L	47	192	055	017	지방해양수산주사보(일반임기제)	0
19057	2	2	L	47	192	076	017	지방해양수산주사보(일반임기제)	0
19058	2	2	L	47	029	214	016	지방농업주사(일반임기제)	0
19059	2	2	L	02	007	012	016	지방행정주사(일반임기제)	0
19060	2	2	L	02	007	012	018	지방행정서기(일반임기제)	0
19061	2	2	L	47	191	138	015	지방공업사무관(일반임기제)	0
19062	2	2	L	47	191	138	016	지방공업주사(일반임기제)	0
19063	2	2	L	47	191	037	017	지방공업주사보(일반임기제)	0
19064	2	2	L	47	191	038	018	지방공업서기(일반임기제)	0
19065	2	2	L	47	029	043	015	지방농업사무관(일반임기제)	0
19066	2	2	L	47	029	044	018	지방농업서기(일반임기제)	1
19067	2	2	L	47	193	220	016	지방녹지주사(일반임기제)	0
19068	2	2	L	47	192	053	015	지방해양수산사무관(일반임기제)	1
19069	2	2	L	47	192	221	017	지방해양수산주사보(일반임기제)	0
19070	2	2	L	47	192	054	018	지방해양수산서기(일반임기제)	1
19071	2	2	L	47	192	074	019	지방해양수산서기보(일반임기제)	0
19072	2	2	L	47	040	061	015	지방의료기술사무관(일반임기제)	0
19073	2	2	L	47	068	068	015	지방환경사무관(일반임기제)	0
19074	2	2	L	47	044	077	015	지방항공사무관(일반임기제)	0
19075	2	2	L	47	169	087	015	지방시설사무관(일반임기제)	0
19076	2	2	L	47	169	086	017	지방시설주사보(일반임기제)	0
19077	2	2	L	47	169	087	019	지방시설서기보(일반임기제)	0
19078	2	2	L	13	184	213	031	지방기록연구사(일반임기제)	0
19079	2	2	L	47	081	148	030	지방공업연구관(일반임기제)	0
19080	2	2	L	47	081	032	030	지방공업연구관(일반임기제)	0
19081	2	2	L	47	081	035	030	지방공업연구관(일반임기제)	0
19082	2	2	L	47	081	038	030	지방공업연구관(일반임기제)	0
19083	2	2	L	47	081	040	030	지방공업연구관(일반임기제)	0
19084	2	2	L	47	081	041	030	지방공업연구관(일반임기제)	0
19085	2	2	L	47	081	110	030	지방공업연구관(일반임기제)	0
19086	2	2	L	47	081	111	030	지방공업연구관(일반임기제)	0
19087	2	2	L	47	081	057	030	지방공업연구관(일반임기제)	0
19088	2	2	L	47	081	148	031	지방공업연구사(일반임기제)	0
19089	2	2	L	47	081	032	031	지방공업연구사(일반임기제)	0
19090	2	2	L	47	081	035	031	지방공업연구사(일반임기제)	0
19091	2	2	L	47	081	038	031	지방공업연구사(일반임기제)	0
19092	2	2	L	47	081	040	031	지방공업연구사(일반임기제)	0
19093	2	2	L	47	081	041	031	지방공업연구사(일반임기제)	0
19094	2	2	L	47	081	110	031	지방공업연구사(일반임기제)	0
