직급_code,직급_value
03563,부장(2급상당)
03564,부장(3급상당)
03565,사무차장(차관보)
03566,사무차장(1급상당)
03567,상근위원(1급상당)
03568,상임위원(1급상당)
03569,상임위원(2급상당)
03570,상임위원(3급상당)
03571,실장(1급상당)
03572,연구개발조정실장(1급상당)
03573,위원국장(2급상당)
03574,위원국장(3급상당)
03575,의료사회사업과장(4급상당)
03576,의료사회사업과장(5급상당)
03577,의료재활과장(5급상당)
03578,의료재활담당(5급상당)
03579,정무실장(1급상당)
03580,제작3과장(4급상당)
03581,조정관(2급상당)
03582,조정관(3급상당)
03583,대화조정관(2급상당)
03584,조정담당관(4급상당)
03585,종무실장(1급상당)
03586,지역담당관(3급상당)
03587,직업지도과장(5급상당)
03588,차관보(1급상당)
03589,차장(1급상당)
03590,체육과학국장(2급상당)
03591,체육과학국장(3급상당)
03592,해외협력담당관(4급상당)
03593,공보실장(1급상당)
03594,공보정책실장(1급상당)
03595,공보관(2급상당)
03596,공보관(3급상당)
03597,공보보좌관(4급상당)
03598,대화공보관(2급상당)
03599,대화공보관(3급상당)
03600,비상계획관(2급상당)
03601,비상계획관(3급상당)
03602,비상계획담당관(4급상당)
03603,비상계획담당(5급상당)
03604,비상계획담당(6급상당)
03605,비상계획담당(7급상당)
03606,비상계획담당(8급상당)
03607,비상계획담당(9급상당)
03608,비상계획보좌관(4급상당)
03609,비상계획보좌관(5급상당)
03610,비상계획요원(6급상당)
03611,비상계획요원(7급상당)
03612,비상계획요원(8급상당)
03613,비상계획요원(9급상당)
03614,상담지도과장(5급상당)
03615,문화정책연구실장(1급상당)
03616,가격조사관(4급상당)
03617,가격조사관(5급상당)
03618,가격조사원(6급상당)
03619,가격조사원(7급상당)
03620,가격조사원(8급상당)
03621,기격조사원(9급상당)
03622,간행물검토담당(5급상당)
03623,간행물검토담당(6급상당)
03624,간행물검토담당(7급상당)
03625,간행물검토담당(8급상당)
03626,간행물검토담당(9급상당)
03627,간행물연구담당(5급상당)
03628,간행물연구담당(6급상당)
03629,간행물연구담당(7급상당)
03630,간행물담당(8급상당)
03631,계수처리담당(5급상당)
03632,계수처리담당(6급상당)
03633,계수처리담당(7급상당)
03634,계수처리담당(8급상당)
03635,계수처리담당(9급상당)
03636,계수처리요원(5급상당)
03637,계수처리요원(6급상당)
03638,계수처리요원(7급상당)
03639,계수처리요원(8급상당)
03640,계수처리요원(9급상당)
03641,계획담당(5급상당)
03642,계획담당(6급상당)
03643,계획담당(7급상당)
03644,계획담당(8급상당)
03645,계획담당(9급상당)
03646,고서전문원(6급상당)
03647,고서전문원(7급상당)
03648,관보담당(5급상당)
03649,교관(4급상당)
03650,교관(5급상당)
03651,교관요원(6급상당)
03652,교관요원(7급상당)
03653,전임강사(5급상당)
03654,조교(6급상당)
03655,조교(7급상당)
03656,교재개발관(5급상당)
03657,교재개발담당(6급상당)
03658,교재개발담당(7급상당)
03659,교회관(4급상당)
03660,교회관(5급상당)
03661,교회사(6급상당)
03662,교회사(7급상당)
03663,교회사보(7급상당)
03664,군사교육교관(3급상당)
03665,군사교육교관(4급상당)
03666,군사교육교관(5급상당)
03667,군사교육교관(6급상당)
03668,군사교육조교(7급상당)
03669,군사교육조교(8급상당)
03670,군사교육조교(9급상당)
03671,군종담당(5급상당)
03672,군중편집담당(7급상당)
03673,근로여성지도교사(8급상당)
03674,기계담당(5급상당)
03675,기계요원(6급상당)
03676,기계요원(7급상당)
03677,기계요원(8급상당)
03678,기계조작원(6급상당)
03679,기계조작원(7급상당)
03680,기기조작담당(6급상당)
03681,기기조작담당(7급상당)
03682,기기조작담당(8급상당)
03683,기능검정연구사(7급상당)
03684,기록관리담당(5급상당)
03685,기록관리담당(6급상당)
03686,기록관리담당(7급상당)
03687,기록보존담당(5급상당)
03688,기록보존사(6급상당)
03689,기록보존사(7급상당)
03690,기자재관리요원(6급상당)
03691,기자재관리요원(7급상당)
03692,기획조사원(6급상당)
03693,기획요원(7급상당)
03694,노동동향분석원(6급상당)
03695,노동동향분석원(7급상당)
03696,농기계교관(6급상당)
03697,농기계교관(7급상당)
03698,농기계교관(8급상당)
03699,농수산통계조사요원(8급상당)
03700,농업연구원(7급상당)
03701,담당관(4급상당)
03702,도안담당(6급상당)
03703,도안담당(7급상당)
03704,도안사(6급상당)
03705,마약감시담당(5급상당)
03706,마약감시원(6급상당)
03707,마약감시원(7급상당)
03708,마약감시원(8급상당)
03709,모필사(6급상당)
03710,무대담당(5급상당)
03711,무대미술장치담당(6급상당)
03712,무대미술장치담당(7급상당)
03713,무대미술장치담당(8급상당)
03714,무술교관(5급상당)
03715,무술담당교관(5급상당)
03716,문서감정관(5급상당)
03717,문서감정담당(6급상당)
03718,문서감정담당(7급상당)
03719,미술사(6급상당)
03720,발간요원(8급상당)
03721,방송관(5급상당)
03722,방송사(6급상당)
03723,방송사(7급상당)
03724,방송사(8급상당)
03725,방송보도관(5급상당)
03726,방송보도요원(7급상당)
03727,방송편집관(5급상당)
03728,방송편성담당(6급상당)
03729,방송편성요원(7급상당)
03730,방송편성요원(8급상당)
03731,방송교재제작담당(5급상당)
03732,방송교재제작담당(6급상당)
03733,방송교재제작담당(7급상당)
03734,방송교재제작담당(8급상당)
03735,방송기사(6급상당)
03736,방송기사(7급상당)
03737,방송분석담당(7급상당)
03738,방송수신사(7급상당)
03739,방호담당(5급상당)
03740,방호담당(6급상당)
03741,방호담당(7급상당)
03742,방호담당(8급상당)
03743,방호담당(9급상당)
03744,방호요원(6급상당)
03745,방호요원(7급상당)
03746,방호요원(8급상당)
03747,방호요원(9급상당)
03748,방화담당(6급상당)
03749,번역사(6급상당)
03750,번역원(7급상당)
03751,번역원(8급상당)
03752,범죄분석연구관(4급상당)
03753,범죄분석연구관(5급상당)
03754,범죄심리연구관(5급상당)
03755,범죄심리연구담당(6급상당)
03756,범죄분석연구담당(6급상당)
03757,법과학연구관(5급상당)
03758,법제연구관(4급상당)
03759,법제연구관(5급상당)
03760,법제연구원(6급상당)
03761,법제연구원(7급상당)
